subj,p1,p2
http://dbpedia.org/resource/Ronnie_McCollum,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Aleksandar_Vasić_(basketball),http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/J.C._Intal,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Gregory_Echenique,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
"http://dbpedia.org/resource/John_Cox_(basketball,_born_1981)",http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Jared_Dillinger,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Richard_Oruche,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Jay-R_Reyes,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/John_Arigo,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Simon_Enciso,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Aleksandar_Andrejević_(basketball),http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Yousif_Aljamal,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Yves_Dignadice,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Rodney_Bartholomew,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Rade_Lončar,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Maverick_Ahanmisi,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Meighan_Simmons,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Rome_dela_Rosa,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Aleksandar_Kalanj,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Jimmy_Alapag,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
"http://dbpedia.org/resource/Dan_Anderson_(basketball,_born_1943)",http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Corey_Stokes,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Jordan_Hill_(basketball),http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Yasseen_Ismail,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Jodie_Meeks,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Moala_Tautuaa,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Jeremy_Richardson,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Stefan_Popovski-Turanjanin,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Joe_Ira_Clark,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Philip_Scrubb,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Howie_Shannon,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Makhtar_N'Diaye_(basketball),http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
