Person,Property,Type,rn,rel_rate
http://dbpedia.org/resource/Klara_Novikova,birthPlace,Country,85,**
http://dbpedia.org/resource/Maz_Jobrani,birthPlace,Country,85,**
http://dbpedia.org/resource/Andy_Andrist,birthPlace,City,85,**
http://dbpedia.org/resource/Iliza_Shlesinger,birthPlace,City,85,**
http://dbpedia.org/resource/Susie_Essman,birthPlace,City,85,1
http://dbpedia.org/resource/Yakov_Smirnoff,birthPlace,Country,85,**
http://dbpedia.org/resource/Robert_Klein,birthPlace,City,85,1
http://dbpedia.org/resource/Don_Rickles,birthPlace,City,85,1
http://dbpedia.org/resource/Dean_Edwards,birthPlace,City,85,1
http://dbpedia.org/resource/The_Kid_Mero,birthPlace,City,85,1
http://dbpedia.org/resource/Danny_McWilliams,birthPlace,City,85,1
http://dbpedia.org/resource/Moshe_Kasher,birthPlace,City,85,1
http://dbpedia.org/resource/Tom_Segura,birthPlace,City,85,**
http://dbpedia.org/resource/Eddie_Murphy,genre,MusicGenre,85,**
http://dbpedia.org/resource/Rodney_Carrington,genre,MusicGenre,85,**
http://dbpedia.org/resource/Edwin_San_Juan,birthPlace,Country,85,**
http://dbpedia.org/resource/Tado_(comedian),birthPlace,City,85,**
http://dbpedia.org/resource/Sanma_Akashiya,birthPlace,City,85,**
http://dbpedia.org/resource/Olga_Kay,birthPlace,Country,85,**
http://dbpedia.org/resource/Garik_Martirosyan,birthPlace,Country,85,**
http://dbpedia.org/resource/Paul_Provenza,birthPlace,City,85,1
http://dbpedia.org/resource/Eugene_Mirman,birthPlace,Country,85,**
http://dbpedia.org/resource/Mike_DeStefano,birthPlace,City,85,1
http://dbpedia.org/resource/Yevgeny_Petrosyan,birthPlace,Country,85,**
http://dbpedia.org/resource/Toni_Mihajlovski,birthPlace,Country,85,**
http://dbpedia.org/resource/Steve_Punt,birthPlace,Country,85,**
http://dbpedia.org/resource/Desus,birthPlace,City,85,1
http://dbpedia.org/resource/Taxstone,birthPlace,City,85,1
