uri,cnter
http://dbpedia.org/ontology/governor,626
http://dbpedia.org/ontology/militaryRank,1069
http://dbpedia.org/ontology/soundRecording,19
http://dbpedia.org/ontology/almaMater,7883
http://dbpedia.org/ontology/spouse,1066
http://dbpedia.org/ontology/knownFor,14
http://dbpedia.org/ontology/battle,1130
http://dbpedia.org/ontology/president,1485
http://dbpedia.org/ontology/termPeriod,50
http://dbpedia.org/ontology/militaryBranch,1373
http://dbpedia.org/ontology/country,5096
http://dbpedia.org/ontology/parent,5
http://dbpedia.org/ontology/nominee,7
http://dbpedia.org/ontology/child,739
http://dbpedia.org/ontology/nationality,8012
http://dbpedia.org/ontology/restingPlacePosition,31
http://dbpedia.org/ontology/education,18
http://dbpedia.org/ontology/restingPlace,712
http://dbpedia.org/ontology/residence,4774
http://dbpedia.org/ontology/relative,6
http://dbpedia.org/ontology/monarch,1180
http://dbpedia.org/ontology/personFunction,5
http://dbpedia.org/ontology/primeMinister,1819
http://dbpedia.org/ontology/associate,296
http://dbpedia.org/ontology/chancellor,38
http://dbpedia.org/ontology/occupation,2476
http://dbpedia.org/ontology/vicePresident,237
http://dbpedia.org/ontology/party,26433
http://dbpedia.org/ontology/appointer,134
http://dbpedia.org/ontology/relation,712
http://dbpedia.org/ontology/deathPlace,12250
http://dbpedia.org/ontology/incumbent,34
http://dbpedia.org/ontology/partner,14
http://dbpedia.org/ontology/region,8995
http://dbpedia.org/ontology/otherParty,873
http://dbpedia.org/ontology/predecessor,7
http://dbpedia.org/ontology/governorGeneral,70
http://dbpedia.org/ontology/deputy,251
http://dbpedia.org/ontology/opponent,40
http://dbpedia.org/ontology/birthPlace,25173
http://dbpedia.org/ontology/militaryUnit,324
http://dbpedia.org/ontology/citizenship,5
http://dbpedia.org/ontology/hometown,6
http://dbpedia.org/ontology/lieutenant,716
http://dbpedia.org/ontology/successor,16793
http://dbpedia.org/ontology/religion,6748
http://dbpedia.org/ontology/stateOfOrigin,64
http://dbpedia.org/ontology/profession,3084
http://dbpedia.org/ontology/award,253
http://dbpedia.org/ontology/thumbnail,15715
